attribute,wine
acetic acid,9
alcohol,5183
almond,3390
apple,11729
apricot,3957
artichoke,24
asparagus,335
bacon,1769
baker's yeast,536
banana,1171
bell,534
black currant,12987
black pepper,9064
blackberry,14799
burned,31
burnt match,699
burnt toast,8199
butterscotch,1222
cabbage,25
canned/cooked,798
caramel,3063
cedar,3802
cherry,32172
chocolate,12090
citrus,16925
cloves,117
coffee,5283
cork,109
cut green grass,1060
diacetyl (butter),1229
diesel,126
dried,5996
dusty,2768
ethyl acetate,5
eucalyptus,445
fig,1269
floral,3662
fresh,16653
fruit aromas,8643
garlic,94
geranium,16
grapefruit,4005
green beans,163
green/black olive,1831
hay/straw,740
hazelnut,370
honey,5053
horsey,72
kerosene,29
leesy,404
lemon,6831
licorice/anise,8318
medicinal,794
melon,4797
menthol,920
mint,3658
molasses,557
moldy,16
mousy,10
mushroom,1100
"natural gas, mercaptain",11
nutty,804
oak,23165
orange blossom,1207
oxidized,266
peach,8798
petroleum,65
phenolic,92
pineapple,5644
plastic,137
prune,1758
raisin,1458
raspberry,9892
resinous,52
rose,1811
rubbery,896
sauerkraut,21
skunk,4
smoky,5801
soy sauce,297
spicy,31055
strawberry,3632
strawberry jam,2964
sulfur,207
sulfur dioxide,11
sweaty,325
tar,1139
tea,2185
tobacco,6303
tree fruit,13499
tropical fruit,4132
vanilla,13680
violet,1092
walnut,178
"wet wool, wet dog",77
yogurt,57
